City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
560,Touros,BR,76.1,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
566,Sambava,MG,75.04,broken clouds,-14.2667,50.1667,Melrose
571,Vanimo,PG,76.05,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
577,San Rafael,AR,83.5,few clouds,-34.6177,-68.3301,Hotel San Rafael
580,Mumford,GH,79.88,scattered clouds,5.2618,-0.759,Spanish Villa
581,Porto Novo,BJ,80.42,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
583,Alofi,NU,84.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
584,Weligama,LK,78.69,broken clouds,5.9667,80.4167,Weligama Bay Resort
589,Gigmoto,PH,81.19,broken clouds,13.7796,124.39,Cj's Travellers Inn
592,Pangkalanbuun,ID,86.94,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
596,Clarence Town,AU,80.51,broken clouds,-32.5833,151.7833,River Downs Cottage
600,Ouegoa,NC,84.31,broken clouds,-20.35,164.4333,
602,Carutapera,BR,75.52,overcast clouds,-1.195,-46.02,Lidera
605,Bubaque,GW,79.38,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
608,Bien Hoa,VN,85.98,scattered clouds,10.95,106.8167,OYO 991 Duy Anh Hotel
609,Pekan,MY,82.51,scattered clouds,3.4836,103.3996,Pekan Budget Hotel
613,Mamallapuram,IN,82.45,clear sky,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
616,Iracoubo,GF,75.0,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
618,Noumea,NC,85.98,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
624,Prado,BR,76.42,light rain,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
630,Puerto Escondido,MX,77.83,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
632,Camocim,BR,77.56,moderate rain,-2.9022,-40.8411,Ilha Praia Hotel
635,Davila,PH,82.38,clear sky,18.4726,120.5763,Blue Ridge Beach Resort
638,Brightwater,NZ,83.21,overcast clouds,-41.3833,173.1167,Marama Vineyard & Accomodation
639,Cozumel,MX,78.87,broken clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
647,Christchurch,NZ,82.6,overcast clouds,-43.5333,172.6333,The George
650,Bima,ID,86.85,broken clouds,-8.4667,118.7167,Lambitu Hotel
653,Kinablangan,PH,81.28,scattered clouds,7.6947,126.5503,Morales Eatery and Lodging House
660,Puerto Leguizamo,CO,76.69,overcast clouds,-0.1934,-74.7819,la casona de juancho
661,Pochutla,MX,76.82,clear sky,15.7432,-96.4661,Hotel Posada San Jose
675,Namuac,PH,77.68,scattered clouds,18.6109,121.1657,Mlin Hotel
680,Vaitape,PF,81.23,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
681,Majene,ID,86.0,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
685,Banda Aceh,ID,83.05,overcast clouds,5.5577,95.3222,Sulthan Hotel International
686,Jipapad,PH,83.8,few clouds,12.2861,125.2353,
687,Orocue,CO,79.34,broken clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
