City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
324,Konevo,RU,62.1215,39.3192,-1.07,99,99,4.72,overcast clouds
325,Gravdal,NO,68.1214,13.5031,28.67,75,6,9.17,clear sky
326,Pakxan,LA,18.3778,103.6601,78.44,50,27,3.38,scattered clouds
327,Bathsheba,BB,13.2167,-59.5167,77.61,73,75,21.85,broken clouds
328,Nome,US,64.5011,-165.4064,1.47,55,0,13.8,clear sky
329,Port Lincoln,AU,-34.7333,135.8667,71.67,66,2,11.95,clear sky
330,Jaciara,BR,-15.9653,-54.9683,71.04,94,100,3.36,overcast clouds
331,Chingirlau,KZ,51.095,54.0814,1.94,97,100,1.28,overcast clouds
332,Meulaboh,ID,4.1363,96.1285,79.39,78,100,4.54,overcast clouds
333,Puerto Colombia,CO,10.9878,-74.9547,78.89,82,40,26.66,scattered clouds
334,Tshikapa,CD,-6.4167,20.8,69.8,97,80,1.7,broken clouds
335,Svetlaya,RU,46.5389,138.3297,15.62,48,8,3.85,clear sky
336,Cherskiy,RU,68.75,161.3,-23.85,100,30,2.95,scattered clouds
337,Bosaso,SO,11.2842,49.1816,70.34,72,2,3.18,clear sky
338,Nikolayevka,RU,53.1257,47.2041,-2.67,100,77,3.51,broken clouds
339,Puerto Del Rosario,ES,28.5004,-13.8627,64.15,72,91,0.0,overcast clouds
340,Onda,ES,39.9667,-0.25,53.04,38,100,9.55,overcast clouds
341,Mayo,US,38.8876,-76.5119,32.34,71,14,3.0,few clouds
342,Delijan,IR,33.9905,50.6838,39.67,49,0,0.49,clear sky
343,Paranaiba,BR,-19.6772,-51.1908,70.36,91,29,8.66,scattered clouds
344,Rosarito,MX,32.3333,-117.0333,55.02,75,100,2.08,overcast clouds
